ISM Controls,,,,,,,,,,,,,,,Scoping Considerations,,,Provider Responsibilities,,,Consumer Responsibilities,,,
Guideline,Section,Topic,Identifier,Revision,Updated,NC,OS,P,S,TS,ML1,ML2,ML3,Description,"Administration
Environment","Cloud Production -
Common Controls ","Cloud Production -
Service Specific","Provider
Responsibility","Implementation
Status","Implementation
Comments","Consumer
Responsibility","Consumer Implementation
Required","Consumer Configuration
Required","Consumer
Guidance"
Guidelines for cyber security roles,Board of directors and executive committee,Embedding cyber security,ISM-1997,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The board of directors or executive committee defines clear roles and responsibilities for cyber security both within the board of directors or executive committee and broadly within their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Embedding cyber security,ISM-1998,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The board of directors or executive committee ensures that cyber security is integrated throughout all business functions within their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Embedding cyber security,ISM-1999,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The board of directors or executive committee ensures the cyber security strategy for their organisation is aligned with the overarching strategic direction and business strategy for their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Embedding cyber security,ISM-2000,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The board of directors or executive committee seeks regular briefings or reporting on the cyber security posture of their organisation, as well as the threat environment in which they operate, from internal and external subject matter experts.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Championing a positive cyber security culture,ISM-2001,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The board of directors or executive committee champions a positive cyber security culture within their organisation, including through leading by example.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Building cyber security expertise,ISM-2002,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The board of directors or executive committee maintains a sufficient level of cyber security literacy to fulfil both their fiduciary duties and any legislative or regulatory obligations.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Building cyber security expertise,ISM-2003,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The board of directors or executive committee maintains awareness of key cyber security recruitment activities, retention rates for cyber security personnel, and cyber security skills and experience gaps within their organisation.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Building cyber security expertise,ISM-2004,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The board of directors or executive committee supports the development of cyber security skills and experience for all personnel via internal and external cyber security awareness raising and training opportunities.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Identifying critical business assets,ISM-2005,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The board of directors or executive committee understands the business criticality of their organisation’s systems, including at least a basic understanding of what exists, their value, where they reside, who has access, who might seek access, how they are protected, and how that protection is verified.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Board of directors and executive committee,Planning for major cyber security incidents,ISM-2006,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The board of directors or executive committee plans for major cyber security incidents, including by participating in exercises, and understand their duties in relation to such cyber security incidents.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Providing cyber security leadership and guidance,ISM-0714,6,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,A CISO is appointed to provide cyber security leadership and guidance for their organisation (covering information technology and operational technology).,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing the cyber security program,ISM-1478,1,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing the cyber security program,ISM-1617,0,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing the cyber security program,ISM-1966,0,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO develops, implements, maintains and verifies on a regular basis a register of systems used by their organisation.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing the cyber security program,ISM-0724,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Coordinating cyber security,ISM-0725,3,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Coordinating cyber security,ISM-0726,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO coordinates security risk management activities between cyber security and business teams.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Reporting on cyber security,ISM-0718,6,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO regularly reports directly to their organisation’s board of directors or executive committee on cyber security matters.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Reporting on cyber security,ISM-1918,0,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO regularly reports directly to their organisation’s audit, risk and compliance committee (or equivalent) on cyber security matters.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing cyber security incident response activities,ISM-0733,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO is fully aware of all cyber security incidents within their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing cyber security incident response activities,ISM-1618,0,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees their organisation’s response to cyber security incidents.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Contributing to business continuity and disaster recovery planning,ISM-0734,4,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Communicating a cyber security vision and strategy,ISM-0720,3,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Working with suppliers,ISM-0731,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees cyber supply chain risk management activities for their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
